지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
108,2019-01-14,1.4,-2.4,719.0,5.3,1452,,,,,,,4.3,320.0,1606.0,2.5,270.0,1925.0,0.9,782.0,-3.8,50,1434,68.6,4.6,1014.8,1028.1,1028.0,1023.3,2342.0,1025.6,9.8,0.4,1100.0,1.08,6.03,,,,,,4.5,2.5,-0.3,-9.6,-0.3,-0.1,0.0,0.6,1.8,4.7,7.6,13.7,16.6,0.8,1.1,,
108,2019-01-15,-1.7,-7.2,2345.0,2.6,1456,1.0,,,,,0.0,11.1,290.0,1524.0,6.1,270.0,1547.0,2.7,2366.0,-9.2,30,1558,58.8,3.3,1013.2,1027.8,2309.0,1021.7,1452.0,1024.2,9.9,4.7,1400.0,1.32,6.93,,,,,,3.8,3.0,0.7,-10.1,0.1,0.0,0.1,0.6,1.8,4.7,7.5,13.6,16.5,1.2,1.7,0.0,
108,2019-01-16,-5.2,-10.1,724.0,-1.1,1542,3.75,,,,,0.0,7.5,340.0,58.0,4.3,340.0,18.0,2.3,1952.0,-15.8,17,1408,45.9,1.9,1015.9,1029.4,1047.0,1024.7,2359.0,1027.0,9.9,8.6,1200.0,1.87,10.36,,,,,,4.1,2.5,-1.8,-13.4,-1.9,-0.5,0.1,0.7,1.8,4.6,7.4,13.5,16.5,1.2,1.7,0.0,
108,2019-01-17,-0.3,-3.2,731.0,4.0,1559,2.83,,,,,0.0,9.1,270.0,1224.0,5.0,320.0,1432.0,1.7,1510.0,-11.9,19,1353,45.8,2.6,1013.4,1027.7,2337.0,1022.3,558.0,1024.3,9.9,8.7,1200.0,1.91,11.07,,,,,,1.8,1.8,0.7,-11.8,-0.3,-0.2,0.2,0.7,1.8,4.6,7.3,13.4,16.4,1.8,2.6,,
108,2019-01-18,0.6,-4.6,737.0,6.7,1441,,,,,,,7.2,270.0,1540.0,4.5,290.0,1549.0,1.3,1089.0,-10.8,21,1247,44.0,2.9,1016.7,1029.7,841.0,1026.0,1428.0,1027.5,9.9,8.5,1200.0,1.79,10.4,,,,,,3.0,1.1,-0.3,-12.9,-0.6,-0.3,0.2,0.7,1.7,4.5,7.3,13.3,16.4,1.5,2.1,,
108,2019-01-19,3.6,0.0,327.0,8.5,1442,,,,,,,5.1,320.0,2050.0,3.0,290.0,2058.0,1.2,1067.0,-3.6,44,1611,59.8,4.7,1011.7,1026.8,38.0,1018.6,2302.0,1022.4,9.9,2.9,1300.0,1.27,6.27,,,,,,7.8,6.5,2.1,-4.5,0.8,-0.1,0.2,0.7,1.8,4.5,7.2,13.2,16.4,1.1,1.6,,
108,2019-01-20,-1.4,-5.5,2327.0,4.0,1,,,,,,,10.3,250.0,1243.0,5.5,320.0,901.0,3.2,2785.0,-14.6,19,1629,38.5,2.2,1011.7,1026.2,2359.0,1018.1,141.0,1022.6,10.0,8.8,1200.0,1.94,11.56,,,,,,1.1,1.1,1.0,-8.9,0.6,0.0,0.2,0.7,1.7,4.5,7.2,13.2,16.3,1.8,2.6,,
108,2019-01-21,-1.2,-6.7,326.0,4.2,1612,2.75,,,,,0.0,9.3,200.0,1535.0,4.3,250.0,1557.0,1.6,1383.0,-8.5,40,1,57.8,3.4,1010.7,1026.2,1.0,1018.6,1638.0,1021.6,10.0,1.0,1000.0,0.52,3.07,,,,,,4.1,4.1,-2.6,-15.1,-1.1,-0.1,0.2,0.7,1.7,4.4,7.1,13.1,16.3,0.7,1.0,0.0,
108,2019-01-22,1.7,-3.3,706.0,7.1,1327,,,,,,,8.5,250.0,1328.0,4.4,270.0,1528.0,1.7,1469.0,-4.9,42,1247,62.0,4.3,1008.6,1020.7,256.0,1018.0,1614.0,1019.4,10.0,8.5,1200.0,1.72,9.85,,,,,,1.1,1.1,-0.7,-10.4,-0.5,-0.2,0.3,0.8,1.7,4.4,7.0,13.0,16.2,1.3,1.9,,
108,2019-01-23,2.0,-0.8,712.0,7.0,1557,,,,,,,9.8,320.0,1443.0,5.1,320.0,1449.0,2.3,1994.0,-9.7,17,1734,48.9,3.3,1009.6,1023.8,2359.0,1017.7,459.0,1020.3,10.0,8.6,1200.0,1.86,10.85,,,,,,0.9,0.0,1.3,-8.9,0.5,-0.1,0.3,0.8,1.7,4.3,7.0,12.9,16.2,2.2,3.2,,
108,2019-01-24,0.1,-4.6,806.0,6.5,1446,,,,,,,6.3,290.0,1557.0,3.5,270.0,1530.0,1.7,1492.0,-14.5,11,1525,34.9,2.0,1013.7,1026.1,1017.0,1023.4,1443.0,1024.6,10.1,8.8,1200.0,1.96,11.71,,,,,,2.1,0.0,0.2,-12.7,-0.1,-0.1,0.3,0.8,1.7,4.3,6.9,12.9,16.1,2.1,3.0,,
108,2019-01-25,-1.2,-3.8,825.0,2.6,1433,,,,,,,9.6,270.0,1110.0,5.5,320.0,1541.0,2.6,2208.0,-17.9,18,1539,27.6,1.6,1013.4,1026.3,2321.0,1022.0,1507.0,1024.3,10.1,8.7,1200.0,1.94,11.56,,,,,,1.3,0.0,0.0,-9.0,-0.3,-0.1,0.4,0.8,1.7,4.2,6.9,12.7,16.1,2.2,3.1,,
108,2019-01-26,-2.5,-6.5,816.0,2.4,1544,,,,,,,8.0,320.0,713.0,4.4,290.0,40.0,2.4,2070.0,-17.7,20,1500,30.9,1.5,1017.5,1030.4,948.0,1026.1,2.0,1028.5,10.1,8.8,1200.0,2.03,12.29,,,,,,0.0,0.0,-0.6,-11.4,-0.8,-0.1,0.4,0.8,1.6,4.2,6.8,12.7,16.0,1.7,2.5,,
108,2019-01-27,-0.1,-6.6,749.0,5.1,1448,,,,,,,7.0,200.0,1328.0,3.7,200.0,1622.0,1.7,1502.0,-9.0,28,1116,52.5,3.3,1015.9,1031.1,914.0,1021.1,2400.0,1026.8,10.2,6.7,1200.0,1.93,10.31,,,,,,4.3,2.4,-0.4,-15.0,-0.7,-0.2,0.4,0.8,1.6,4.2,6.7,12.6,16.0,1.4,2.0,0.0,
108,2019-01-28,1.2,-2.4,2357.0,4.5,1523,1.5,,,,,0.0,11.7,320.0,1210.0,6.8,320.0,1237.0,3.1,2708.0,-12.4,17,1522,40.4,2.7,1011.6,1026.6,2259.0,1018.7,531.0,1022.4,10.2,8.7,1200.0,1.98,11.76,,,,,,1.3,1.3,2.1,-7.3,1.0,0.0,0.4,0.9,1.6,4.1,6.7,12.5,15.9,2.3,3.3,,
108,2019-01-29,-0.2,-5.6,737.0,7.0,1508,,,,,,,6.7,320.0,1812.0,3.7,270.0,1729.0,1.5,1287.0,-14.1,18,1559,35.5,2.1,1016.9,1029.6,1043.0,1025.9,1622.0,1027.9,10.2,8.7,1200.0,2.0,11.87,,,,,,2.1,0.0,0.3,-12.1,-0.1,0.0,0.5,0.8,1.6,4.1,6.7,12.5,15.9,1.8,2.6,,
108,2019-01-30,1.8,-2.8,746.0,6.6,1414,,,,,,,7.9,250.0,1641.0,3.8,270.0,1648.0,1.5,1295.0,-6.6,39,1007,54.6,3.9,1014.9,1028.5,240.0,1022.9,2358.0,1025.7,10.3,7.7,1200.0,1.54,9.13,,,,,,6.9,2.5,1.6,-9.1,0.4,0.1,0.6,0.9,1.6,4.1,6.6,12.4,15.8,1.5,2.1,,
108,2019-01-31,-2.0,-6.2,2355.0,2.3,1,,,,,,,7.8,290.0,1548.0,4.7,290.0,1925.0,2.9,2545.0,-18.4,18,1420,29.0,1.6,1010.5,1024.0,2349.0,1019.0,1425.0,1021.4,10.3,3.4,1400.0,1.38,5.97,,,,,,7.0,5.1,0.6,-9.0,0.1,0.2,0.7,1.0,1.7,4.1,6.6,12.3,15.8,1.5,2.2,,
108,2019-02-01,-2.1,-7.4,333.0,2.8,1320,2.25,,,,,0.3,9.1,230.0,1456.0,4.9,290.0,1254.0,1.7,1477.0,-11.9,27,1114,47.6,2.6,1013.0,1025.2,1104.0,1022.7,1755.0,1023.9,10.3,5.7,1200.0,2.04,9.71,0.2,1855.0,0.2,1855.0,0.2,3.0,3.0,-2.0,-14.5,-0.9,0.0,0.6,1.0,1.6,4.1,6.5,12.3,15.7,1.2,1.8,0.3,
108,2019-02-02,1.4,-3.2,434.0,6.1,1643,0.42,,,,,0.0,5.7,90.0,2347.0,1.8,50.0,1411.0,1.0,903.0,-5.6,46,1623,60.0,4.0,1011.2,1024.2,226.0,1018.8,2353.0,1022.0,10.3,1.6,1500.0,0.83,4.48,,,0.2,1.0,,7.5,7.0,-0.2,-12.6,-0.2,0.1,0.6,1.0,1.6,4.0,6.5,12.2,15.7,0.8,1.1,9.0,
108,2019-02-03,3.3,2.0,352.0,4.9,1435,19.67,,,,,16.0,9.1,270.0,2119.0,4.0,320.0,1717.0,1.7,1497.0,2.2,53,1,92.9,7.2,1002.2,1018.8,1.0,1008.0,1421.0,1012.8,10.4,0.0,1400.0,0.1,0.54,,,,,,9.3,7.8,2.2,-0.3,1.2,0.7,0.8,1.1,1.7,4.0,6.5,12.2,15.7,0.5,0.7,7.0,1.08
108,2019-02-04,-0.6,-3.3,806.0,3.0,1533,,,,,,,10.0,270.0,32.0,4.9,290.0,41.0,2.1,1787.0,-13.0,17,1558,40.4,2.3,1014.7,1028.2,1010.0,1018.5,1.0,1025.7,10.4,8.6,1200.0,2.16,12.74,,,,,,2.4,0.0,1.4,-6.9,1.0,1.1,1.3,1.4,1.6,4.0,6.4,12.1,15.6,1.8,2.5,,
108,2019-02-05,2.8,-3.6,458.0,10.1,1500,,,,,,,5.9,200.0,1506.0,2.9,200.0,1413.0,1.0,889.0,-11.3,17,1357,37.1,2.6,1010.6,1026.2,230.0,1018.2,1654.0,1021.3,10.5,7.8,1200.0,2.05,11.81,,,,,,3.9,1.0,1.9,-7.5,1.0,0.9,1.2,1.4,1.5,3.9,6.4,12.0,15.5,1.9,2.8,,
108,2019-02-06,5.1,0.1,715.0,9.3,1354,,,,,,,6.5,230.0,1634.0,3.1,200.0,1614.0,1.3,1157.0,-3.7,34,1129,54.9,5.0,1005.6,1018.7,34.0,1014.3,1431.0,1016.1,10.5,3.3,1100.0,1.49,6.87,,,,,,8.1,5.1,2.5,-5.5,2.0,1.5,1.4,1.5,1.5,3.9,6.3,12.0,15.5,1.2,1.7,0.5,
108,2019-02-07,-2.1,-8.2,2339.0,6.3,1,4.17,,,,,0.5,10.0,290.0,1254.0,5.5,320.0,1616.0,3.5,3014.0,-13.6,18,1331,45.5,2.7,1011.9,1028.6,2327.0,1015.6,5.0,1022.8,10.5,8.7,1300.0,2.21,13.09,0.0,,0.0,,0.0,4.3,1.9,2.4,-9.3,2.5,2.5,2.3,2.1,1.6,3.9,6.3,11.9,15.4,1.9,2.8,,
108,2019-02-08,-6.1,-10.2,741.0,-1.3,1354,,,,,,,8.3,320.0,4.0,4.7,340.0,4.0,2.3,2012.0,-20.4,18,1344,31.5,1.2,1015.3,1029.4,934.0,1023.8,2350.0,1026.4,10.6,8.4,1100.0,1.97,12.08,,,,,,6.1,1.1,-2.4,-11.0,-0.8,0.4,1.3,1.8,1.5,3.9,6.2,11.8,15.4,1.6,2.3,,
108,2019-02-09,-5.4,-8.6,742.0,-1.9,1534,,,,,,,8.6,320.0,408.0,4.9,320.0,448.0,2.7,2331.0,-20.6,20,1510,30.0,1.2,1017.4,1032.3,2355.0,1024.0,8.0,1028.5,10.6,9.3,1200.0,2.24,13.27,,,,,,4.4,1.3,-2.2,-10.9,-0.9,0.0,0.8,1.3,1.5,3.8,6.2,11.8,15.4,1.6,2.3,,
108,2019-02-10,-5.0,-9.1,634.0,-1.9,1506,,,,,,,6.7,290.0,36.0,3.6,290.0,27.0,1.7,1508.0,-19.5,22,1325,31.3,1.3,1019.8,1032.9,22.0,1029.3,1449.0,1031.0,10.6,2.2,1100.0,1.57,7.83,,,,,,7.5,5.0,-2.6,-13.4,-1.5,-0.3,0.5,1.1,1.6,3.9,6.2,11.7,15.3,1.3,1.8,,
108,2019-02-11,-3.0,-7.5,641.0,2.0,1622,,,,,,,9.7,290.0,1325.0,4.9,320.0,1326.0,2.3,1945.0,-16.7,19,1641,34.9,1.7,1020.7,1034.3,2252.0,1029.6,413.0,1031.8,10.7,9.4,1200.0,2.32,14.53,,,,,,0.4,0.4,-0.6,-11.7,-1.3,-0.4,0.4,0.9,1.6,3.8,6.2,11.6,15.3,1.9,2.7,0.0,
108,2019-02-12,-0.6,-4.1,117.0,3.7,1432,2.25,,,,,0.0,7.5,290.0,2134.0,4.3,340.0,2031.0,1.9,1626.0,-14.5,22,1741,35.5,2.1,1023.0,1036.2,831.0,1032.0,1530.0,1034.0,10.7,8.5,1200.0,1.97,12.34,,,,,,5.6,2.4,1.2,-10.5,-0.4,-0.2,0.4,0.9,1.6,3.8,6.1,11.6,15.2,2.0,2.9,,
108,2019-02-13,-2.1,-5.7,710.0,2.5,1559,,,,,,,8.4,320.0,1314.0,5.1,290.0,1445.0,2.4,2086.0,-19.1,15,1314,26.6,1.4,1022.0,1035.0,907.0,1031.1,1512.0,1033.1,10.7,9.2,1200.0,2.26,14.15,,,,,,1.8,0.0,0.4,-10.4,-0.6,-0.2,0.4,0.9,1.7,3.8,6.1,11.6,15.2,2.2,3.1,,
108,2019-02-14,-0.5,-5.9,743.0,6.3,1600,,,,,,,5.8,160.0,1406.0,3.2,270.0,1643.0,1.4,1216.0,-18.7,16,1359,24.3,1.4,1019.9,1034.0,846.0,1027.2,1756.0,1030.9,10.8,9.2,1200.0,2.34,14.39,,,,,,5.3,1.3,1.2,-9.3,-0.3,-0.2,0.4,0.8,1.6,3.8,6.1,11.5,15.1,2.1,3.1,1.4,
108,2019-02-15,-0.8,-2.9,710.0,0.9,1834,14.83,,,,,2.2,7.9,340.0,2047.0,4.0,290.0,2055.0,1.9,1641.0,-5.5,30,303,72.8,4.2,1012.9,1028.3,1.0,1020.9,1731.0,1023.8,10.8,0.0,1200.0,0.78,3.57,2.4,955.0,2.4,955.0,2.9,9.1,8.0,-0.2,-4.6,0.0,-0.1,0.4,0.9,1.7,3.8,6.1,11.5,15.1,0.6,0.9,1.0,
108,2019-02-16,-2.7,-5.1,808.0,1.5,1558,3.42,,,,,0.2,8.1,340.0,1401.0,4.6,320.0,1235.0,2.6,2268.0,-9.7,38,1533,59.0,2.9,1013.5,1025.7,939.0,1022.3,1.0,1024.4,10.9,8.8,1300.0,2.25,13.19,0.3,355.0,0.7,355.0,0.3,2.4,2.4,1.1,-7.9,-0.2,0.0,0.4,0.9,1.6,3.8,6.0,11.4,15.1,1.4,2.0,,
108,2019-02-17,-1.8,-6.8,734.0,4.6,1603,,,,,,,7.3,160.0,1314.0,4.2,270.0,1541.0,1.9,1630.0,-12.1,23,1322,47.4,2.5,1015.5,1027.8,2257.0,1024.9,1644.0,1026.4,10.9,9.8,1200.0,2.44,16.08,,,,,,0.1,0.0,0.0,-12.8,-0.7,-0.1,0.5,0.9,1.6,3.7,6.0,11.3,15.0,2.0,2.9,,
108,2019-02-18,0.9,-4.7,618.0,5.9,1350,,,,,,,5.0,270.0,1505.0,2.8,200.0,1437.0,1.3,1136.0,-10.7,27,1251,43.5,2.7,1014.7,1027.8,755.0,1023.2,2357.0,1025.6,10.9,5.6,1100.0,2.0,10.19,,,,,,7.4,5.0,-0.6,-10.9,-0.3,-0.1,0.5,0.9,1.6,3.7,6.0,11.3,15.0,1.5,2.1,1.4,
108,2019-02-19,1.4,0.2,510.0,3.0,1710,11.58,,,,,4.6,7.7,270.0,1812.0,3.9,290.0,1459.0,1.4,1240.0,-1.7,36,56,80.8,5.5,1008.7,1023.3,1.0,1016.6,1407.0,1019.4,11.0,0.6,1400.0,0.85,3.43,3.3,1155.0,3.3,1155.0,3.3,9.4,7.9,0.0,-4.4,0.2,0.0,0.5,0.9,1.7,3.7,6.0,11.3,15.0,0.6,0.8,3.2,
108,2019-02-20,1.7,-0.1,2359.0,4.5,1647,2.33,,,,,0.0,7.9,290.0,1128.0,4.1,320.0,1526.0,2.1,1806.0,-3.7,48,1556,67.8,4.7,1014.5,1027.8,2310.0,1021.3,22.0,1025.3,11.0,2.2,1200.0,1.32,6.26,,,0.4,1.0,,6.5,6.0,1.8,-4.7,0.4,0.1,0.6,0.9,1.6,3.7,5.9,11.2,14.9,1.0,1.4,0.0,
108,2019-02-21,2.4,-2.6,703.0,9.0,1540,,,,,,,5.8,270.0,1919.0,3.4,200.0,1336.0,1.5,1326.0,-5.3,32,1550,59.4,4.2,1015.9,1028.5,847.0,1024.8,1557.0,1026.7,11.0,9.6,1300.0,2.28,14.6,,,,,,0.0,0.0,3.1,-7.3,1.4,0.7,1.0,1.2,1.6,3.7,5.9,11.2,14.8,1.9,2.7,,
108,2019-02-22,4.0,-1.6,606.0,10.8,1603,,,,,,,6.9,290.0,1412.0,3.7,270.0,1432.0,1.5,1292.0,-4.7,28,1352,56.1,4.3,1011.3,1025.3,34.0,1018.9,1647.0,1022.0,11.1,9.5,1300.0,2.34,15.33,,,,,,5.4,0.0,4.0,-7.1,2.8,2.2,1.9,1.7,1.6,3.6,5.9,11.1,14.8,2.3,3.2,,
108,2019-02-23,6.8,0.5,640.0,14.5,1522,,,,,,,8.0,50.0,1209.0,2.9,70.0,1217.0,1.1,937.0,-7.3,15,1611,41.0,3.6,1012.8,1024.9,855.0,1021.0,45.0,1023.4,11.1,9.1,1200.0,2.54,16.04,,,,,,2.9,0.0,5.2,-5.3,4.2,3.5,2.9,2.4,1.7,3.6,5.8,11.0,14.7,3.0,4.2,,
108,2019-02-24,6.3,1.2,648.0,13.7,1500,,,,,,,8.1,180.0,1406.0,4.9,290.0,1824.0,1.8,1555.0,-5.7,20,1422,45.0,4.1,1012.1,1025.5,847.0,1020.0,1724.0,1022.7,11.2,10.0,1200.0,2.42,16.07,,,,,,1.6,0.0,5.0,-5.2,4.5,4.0,3.5,3.1,2.0,3.7,5.8,11.0,14.7,2.8,4.0,,
108,2019-02-25,4.7,1.3,725.0,10.2,1540,,,,,,,8.1,270.0,2129.0,4.8,320.0,2138.0,2.3,1968.0,-4.6,26,1513,55.8,4.5,1011.1,1023.2,946.0,1019.9,1557.0,1021.7,11.2,8.0,1200.0,2.32,14.21,,,,,,4.8,2.3,5.7,-3.3,4.8,4.5,4.1,3.7,2.7,3.8,5.8,11.0,14.7,2.4,3.5,,
108,2019-02-26,5.2,-1.5,656.0,12.0,1514,,,,,,,8.2,250.0,1337.0,4.9,180.0,1344.0,1.6,1420.0,-10.7,16,1435,32.8,2.8,1013.4,1026.3,845.0,1021.8,1659.0,1024.1,11.2,9.5,1100.0,2.39,16.25,,,,,,3.6,2.3,5.3,-8.1,4.5,4.2,4.0,3.8,3.3,4.0,5.8,10.9,14.6,2.9,4.2,,
108,2019-02-27,7.8,4.7,754.0,14.0,1400,,,,,,,8.3,180.0,1703.0,4.3,290.0,1527.0,1.6,1389.0,-8.3,21,1645,31.3,3.3,1010.7,1024.0,146.0,1018.6,1838.0,1021.3,11.3,7.8,1300.0,2.14,12.84,,,,,,7.5,3.9,6.5,-0.1,6.2,5.7,5.0,4.4,3.8,4.1,5.8,10.9,14.6,2.5,3.6,,
108,2019-02-28,6.6,2.0,653.0,12.8,1446,,,,,,,8.4,270.0,1546.0,4.7,270.0,1726.0,2.0,1771.0,-6.5,24,1418,39.5,3.8,1008.4,1020.3,839.0,1016.6,1350.0,1019.0,11.3,8.1,1300.0,2.21,14.07,,,,,,3.3,0.0,5.9,-3.9,5.4,5.4,5.1,4.8,4.4,4.4,5.9,10.8,14.6,2.8,4.0,,
